Chinese	Pinyin	English	TimesUsed
晓得	xiǎo de	know	166
诫命	jiè mìng	commandments	166
公义	gōng yì	justice	165
跟随	gēn suí	follow	164
跟从	gēn cóng	follow	164
恶	è	evil	162
更	gèng	more	161
约押	yuē yā	Joab	161
丈夫	zhàng fu	husband	160
主殿	zhǔ diàn	the Lord's temple	160
坚固	jiān gù	fortified	159
尺	chǐ	cubit	158
赐给	cì gěi	bestow upon	158
遵着	zūn zhe	obeying	157
靠	kào	depend on	157
命令	mìng lìng	command	156
善人	shàn rén	righteous people	156
安息日	ān xī rì	Sabbath	156
撒母耳	sā mǔ ěr	Samuel	156
我主	wǒ zhǔ	my Lord	155
建造	jiàn zào	to build	155
城里	chéng lǐ	in the city	154
那些	nà xiē	those	154
剩下	shèng xià	left	154
约翰	yuē hàn	John	154
年	nián	years	153
认识	rèn shi	know	153
勇士	yǒng shì	warrior	153
各样	gè yàng	all kinds of	152
肉	ròu	flesh	152
摩押	mó yā	Moab	152
帐幕	zhàng mù	tent	151
服事	fú shì	serve	150
在那里	zài nà lǐ	there	150
性命	xìng mìng	life	149
意思	yì si	meaning	149
回	huí	return	149
以法莲	yǐ fǎ lián	Ephraim	149
未曾	wèi céng	had not yet	148
穿	chuān	wear	148
别人	bié rén	another person	148
这话	zhè huà	these words	148
得了	dé le	received	147
呼吁	hū yù	called out	147
谨守	jǐn shǒu	observe carefully	147
以撒	yǐ sā	Isaac	146
称	chēng	called	145
母	mǔ	mother	145
死了	sǐ le	died	145
伊及人	yī jí rén	Egyptians	145
族长	zú zhǎng	clan leader	145
上来	shàng lái	come up	144
保佑	bǎo yòu	bless	143
照	zhào	according to	143
灵	líng	spirit	142
观看	guān kàn	look	142
业	yè	possession	142
等	děng	wait	141
驱逐	qū zhú	drive out	141
法度	fǎ dù	laws	141
预言	yù yán	prophesy	141
拣选	jiǎn xuǎn	choose	140
共	gòng	altogether	140
经过	jīng guò	passed through	140
着	zhe	aspect particle	139
以后	yǐ hòu	afterwards	138
酒	jiǔ	wine	138
行为	xíng wéi	behavior	138
不如	bù rú	it would be better to	138
乃是	nǎi shì	but are	138
焚烧	fén shāo	burn	138
于	yú	on	137
拜	bài	worship	137
应验	yìng yàn	fulfill	137
各人	gè rén	each person	137
早晨	zǎo chén	morning	136
十二	shí èr	twelve	136
福音	fú yīn	gospel	136
二人	èr rén	two people	135
娶	qǔ	married	135
正	zhèng	just	134
岁	suì	years	134
心中	xīn zhōng	in heart	134
遭遇	zāo yù	encounter	134
毁灭	huǐ miè	destroy	134
油	yóu	oil	134
咒诅	zhòu zǔ	curse	133
玛拿西	mǎ ná xī	Manasseh	133
欢喜	huān xǐ	rejoice	133
头	tóu	head	132
实在	shí zài	indeed	132
山	shān	mountain	132
发	fā	distribute	132
不洁	bù jié	unclean	132
站立	zhàn lì	stand	131
之后	zhī hòu	after	131
驴	lǘ	donkey	131
行走	xíng zǒu	walk	130
羔羊	gāo yáng	lamb	130
器皿	qì mǐn	vessels	130
尽都	jìn dōu	all	130
显现	xiǎn xiàn	appeared	129
离	lí	away from	129
诚实	chéng shí	faithfully	128
站	zhàn	stand	128
安慰	ān wèi	comfort	128
容	róng	allow	128
犯罪	fàn zuì	commit sin	128
帮助	bāng zhù	help	127
打发	dǎ fā	sent	127
称为	chēng wéi	be called	127
感动	gǎn dòng	moved	127
希西家	xī xī jiā	Hezekiah	127
回到	huí dào	return to	126
以利沙	yǐ lì shā	Elishah	126
义	yì	righteousness	126
那日	nà rì	that day	126
她们	tā men	them	126
怜悯	lián mǐn	mercy	126
撒玛利亚	sǎ mǎ lì yà	Samaria	126
如何	rú hé	how	125
下来	xià lái	down	125
其余	qí yú	the rest	125
回去	huí qù	went back	125
礼物	lǐ wù	gifts	125
别的	bié de	other	125
大能	dà néng	great power	125
军旅	jūn lǚ	army	125
以利亚	yǐ lì yà	Elijah	125
兴起	xīng qǐ	arise	125
约拿单	yuē ná dān	Jonathan	125
免得	miǎn de	so that not	124
舍客勒	shè kè lè	shekel	124
大声	dà shēng	loudly	124
颂扬	sòng yáng	praise	124
权柄	quán bǐng	authority	123
成为	chéng wéi	become	122
灭亡	miè wáng	perish	122
头上	tóu shàng	on my head	122
尽	jìn	exhausted	122
教会	jiào huì	church	122
一日	yī rì	one day	121
旁	páng	beside	121
脚	jiǎo	feet	121
臣仆	chén pú	servants	121
押沙龙	yā shā lóng	Absalom	120
才	cái	only then	119
柜	guì	ark	119
族	zú	tribes	119
这人	zhè rén	this person	119
眼	yǎn	eye	119
面	miàn	face	118
带着	dài zhe	carrying	118
二	èr	two	118
便雅悯	biàn yǎ mǐn	Benjamin	118
常常	cháng cháng	often	118
它	tā	it	117
安	ān	place	117
必将	bì jiāng	will surely	117
罪恶	zuì è	evil	117
惩罚	chéng fá	punish	117
遵守	zūn shǒu	observe	117
治理	zhì lǐ	govern	117
释放	shì fàng	release	117
口中	kǒu zhōng	in the mouth	117
身	shēn	body	116
引导	yǐn dǎo	guide	116
倒	dào	pour	116
卖	mài	sell	116
君王	jūn wáng	kings	116
素祭	sù jì	grain offering	116
行恶	xíng è	do evil	116
郊野	jiāo yě	pasturelands	116
万民	wàn mín	all people	115
葡萄园	pú táo yuán	vineyard	115
杀戮	shā lù	slaughter	115
坟墓	fén mù	grave	115
他们的	tā men de	their	115
变为	biàn wéi	turned into	115
圣	shèng	holy	115
个	gè	measure word	114
由	yóu	from	114
何	hé	what	114
万物	wàn wù	all things	113
将要	jiāng yào	about to	113
掳掠	lǔ lüè	plunder	113
设立	shè lì	established	113
奇事	qí shì	wonders	112
安营	ān yíng	encamp	112
赐与	cì yǔ	give	112
亚扪人	yà mén rén	Ammonites	112
报应	bào yìng	retribution	112
使徒	shǐ tú	apostles	112
黑暗	hēi àn	darkness	111
召	zhào	summon	111
盼望	pàn wàng	hope	111
海	hǎi	sea	110
分	fēn	divide	110
起行	qǐ xíng	set out	110
以扫	yǐ sǎo	Esau	110
保护	bǎo hù	protect	110
违背	wéi bèi	disobey	109
起	qǐ	name	109
处	chù	place	109
地业	dì yè	possession	109
得救	dé jiù	be saved	109
看守	kān shǒu	keep	108
成就	chéng jiù	accomplish	108
山上	shān shàng	on the mountain	108
至	zhì	most	108
赦免	shè miǎn	forgive	108
赎罪祭	shú zuì jì	sin offering	108
主的	zhǔ de	the Lord's	108
祭司长	jì sī zhǎng	high priest	108
哀哭	āi kū	mourned	107
荒芜	huāng wú	desolate	107
建立	jiàn lì	built	106
记	jì	record	106
祭	jì	sacrifice	106
若是	ruò shì	if	106
买	mǎi	buy	106
喜爱	xǐ ài	love	106
接续	jiē xù	succeed	106
耶罗波安	yē luó bō ān	Jeroboam	106
名叫	míng jiào	was called	105
俯伏	fǔ fú	prostrate	105
七日	qī rì	seven days	104
兽	shòu	beast	104
患难	huàn nàn	tribulation	104
平原	píng yuán	plain	103
陷	xiàn	fell into	103
怜恤	lián xù	have compassion	103
上去	shàng qù	ascend	103
制造	zhì zào	make	103
一处	yī chù	one place	102
方	fāng	just	102
将来	jiāng lái	in the future	102
交给	jiāo gěi	handed over to	102
葬	zàng	bury	102
把	bǎ	take	102
圣殿	shèng diàn	temple	102
必得	bì dé	will surely obtain	101
基列	jī liè	Gilead	101
打	dǎ	struck	101
以致	yǐ zhì	so that	101
所行	suǒ xíng	have done	100
惟愿	wéi yuàn	I wish	100
父母	fù mǔ	parents	99
追赶	zhuī gǎn	chase	99
宽	kuān	width	99
食物	shí wù	food	99
寻找	xún zhǎo	search for	99
除掉	chú diào	remove	99
共有	gòng yǒu	altogether have	99
未	wèi	not yet	99
可憎	kě zēng	detestable	99
寻求	xún qiú	seek	99
基路伯	jī lù bó	cherubim	98
祝福	zhù fú	bless	98
默示	mò shì	revelation	98
献祭	xiàn jì	offer sacrifice	98
以利亚撒	yǐ lì yà sǎ	Eleazar	98
显	xiǎn	show	98
明白	míng bái	understand	98
罪愆	zuì qiān	sin	98
拆毁	chāi huǐ	demolish	98
道理	dào lǐ	teachings	98
次日	cì rì	the next day	97
烧	shāo	burn	97
论	lùn	concerning	97
毁谤	huǐ bàng	slander	97
分别	fēn bié	separate	96
全地	quán dì	the whole earth	96
里面	lǐ miàn	inside	96
这个	zhè ge	this	96
金银	jīn yín	gold and silver	96
城中	chéng zhōng	in the city	96
恩典	ēn diǎn	grace	96
连	lián	even	96
国中	guó zhōng	in the country	96
写	xiě	wrote	96
劝	quàn	persuade	96
悔改	huǐ gǎi	repent	96
创造	chuàng zào	create	95
每	měi	each	95
正直	zhèng zhí	upright	95
加	jiā	put	95
弟兄们	dì xiong men	brothers	95
指望	zhǐ wàng	hope	95
磐石	pán shí	rock	95
赎	shú	redeem	95
施恩	shī ēn	show kindness	94
去了	qù le	went away	94
长子	zhǎng zǐ	firstborn	94
善	shàn	good	94
孩子	hái zi	child	94
田地	tián dì	field	94
羊群	yáng qún	flock of sheep	94
不至	bù zhì	not reach	94
亚哈	yà hā	Ahab	94
巴比伦王	bā bǐ lún wáng	king of Babylon	94
尼布甲尼撒	ní bù jiǎ ní sā	Nebuchadnezzar	94
女	nǚ	female	93
遵	zūn	obey	93
割礼	gē lǐ	circumcision	93
二十	èr shí	twenty	93
算	suàn	count	93
眼前	yǎn qián	in front of	93
存活	cún huó	live	93
有福	yǒu fú	blessed	93
侯伯	hóu bó	princes	93
金	jīn	gold	93
约沙法	yuē shā fǎ	Jehoshaphat	93
流	liú	flow	92
牛犊	niú dú	calf	92
客旅	kè lǚ	sojourner	92
得罪	dé zuì	sin against	92
其上	qí shàng	it	92
列邦	liè bāng	nations	92
惟有	wéi yǒu	only	91
永	yǒng	forever	91
房屋	fáng wū	house	91
眼目	yǎn mù	eyes	91
狮子	shī zi	lion	91
法利赛人	fǎ lì sài rén	Pharisees	91
进入	jìn rù	enter	90
数	shǔ	count	90
藐视	miǎo shì	despise	90
神人	shén rén	man of God	90
天下	tiān xià	under heaven	89
留下	liú xià	left	89
福	fú	blessing	89
杖	zhàng	staff	89
少年人	shào nián rén	young man	89
河	hé	river	88
七	qī	seven	88
建筑	jiàn zhù	build	88
财物	cái wù	possessions	88
夜间	yè jiān	at night	88
巴兰	bā lán	Paran (place name)	88
死人	sǐ rén	dead person	88
靠近	kào jìn	near	87
粮食	liáng shí	food	87
必须	bì xū	must	87
施行	shī xíng	carry out	87
婴孩	yīng hái	infant	87
自	zì	ourselves	87
祈求	qí qiú	pray	87
条例	tiáo lì	regulations	87
列王	liè wáng	kings	87
充满	chōng mǎn	fill	86
亚述	yà shù	Assyria	86
打仗	dǎ zhàng	fight	86
世界	shì jiè	world	86
高	gāo	height	86
赐福	cì fú	bless	86
应允	yīng yǔn	grant	86
恶事	è shì	evil deed	86
亚兰人	yà lán rén	Aramean	86
杀人	shā rén	kill people	86
巴力	bā lì	Baal	86
重	zhòng	heavy	85
极其	jí qí	extremely	85
饥荒	jī huāng	famine	85
恩	ēn	grace	85
得着	dé zháo	obtain	85
几个	jǐ gè	a few	85
寡妇	guǎ fù	widow	85
又有	yòu yǒu	and there is	84
谨慎	jǐn shèn	be careful	84
不信	bù xìn	not believe	84
悖逆	bèi nì	rebel against	84
但以理	dàn yǐ lǐ	Daniel	84
果子	guǒ zǐ	fruit	83
管理	guǎn lǐ	manage	83
立约	lì yuē	establish a covenant	83
降临	jiàng lín	descend	83
孙子	sūn zi	grandson	83
送	sòng	send	83
迎接	yíng jiē	meet	83
进去	jìn qù	enter	83
拿着	ná zhe	holding	83
朋友	péng yǒu	friend	83
许	xǔ	promised	83
归回	guī huí	return	83
派	pài	appoint	83
逾越节	yú yuè jié	Passover	83
被掳	bèi lǔ	captured	83
赎罪	shú zuì	atonement	83
干犯	gān fàn	violate	83
邱坛	qiū tán	high places	83
无有	wú yǒu	there was no	83
践踏	jiàn tà	trample	83
耶户	yē hù	Jehu	83
田间	tián jiān	field	82
想	xiǎng	thought	82
营	yíng	camp	82
公绵羊	gōng mián yáng	ram	81
前来	qián lái	come forward	81
等候	děng hòu	wait	81
器械	qì xiè	tools	81
知识	zhī shi	knowledge	81
凡事	fán shì	all things	81
方伯	fāng bó	provincial governor	81
城门	chéng mén	city gate	80
且	qiě	for now	80
三	sān	three	80
忧愁	yōu chóu	sorrow	80
刀剑	dāo jiàn	sword	80
惊惶	jīng huáng	terrified	80
作王	zuò wáng	became king	80
宣告	xuān gào	proclaimed	80
宝座	bǎo zuò	throne	80
信心	xìn xīn	faith	80
明日	míng rì	tomorrow	79
逃跑	táo pǎo	flee	79
以外	yǐ wài	outside	79
修理	xiū lǐ	tend	79
骄傲	jiāo ào	arrogant	79
载	zài	carry	79
村庄	cūn zhuāng	villages	79
真理	zhēn lǐ	truth	79
十字架	shí zì jià	cross	79
存留	cún liú	preserve	78
先前	xiān qián	previously	78
交付	jiāo fù	deliver	78
云	yún	cloud	78
还是	hái shi	still	78
右手	yòu shǒu	right hand	78
愆尤	qiān yóu	transgressions	78
顺从	shùn cóng	submit to	78
光	guāng	light	77
活物	huó wù	living creatures	77
树	shù	trees	77
脂油	zhī yóu	fat	77
率领	shuài lǐng	led	77
苦难	kǔ nàn	suffering	77
甚是	shèn shì	very	77
杀了	shā le	kill	77
力量	lì liàng	power	77
马	mǎ	horses	77
除灭	chú miè	destroy	77
效法	xiào fǎ	imitate	77
不义	bù yì	injustice	77
全	quán	all	76
希伯仑	xī bó lún	Hebron	76
忽然	hū rán	suddenly	76
不敢	bù gǎn	dare not	76
角	jiǎo	horn	76
本族	běn zú	native clan	76
以东	yǐ dōng	Edom	76
公山羊	gōng shān yáng	male goats	76
异象	yì xiàng	vision	76
吹角	chuī jiǎo	sound of trumpet	76
抹	mǒ	anoint	76
膏	gāo	anoint	76
阿们	ā men	amen	76
君	jūn	ruler	76
船	chuán	ships	76
城墙	chéng qiáng	city wall	75
三十	sān shí	thirty	75
判断	pàn duàn	judge	75
洗	xǐ	wash	75
遇	yù	meet	75
施	shī	bestow	75
起身	qǐ shēn	set out	75
瘟疫	wēn yì	plague	75
毁坏	huǐ huài	destroy	75
翅膀	chì bǎng	wings	75
平安祭	píng ān jì	peace offering	75
欢呼	huān hū	shouted for joy	75
书	shū	book	75
参孙	sān sūn	Samson	75
路	lù	way	74
眼睛	yǎn jing	eyes	74
旁边	páng biān	side	74
永不	yǒng bù	never	74
那时候	nà shí hòu	at that time	74
城内	chéng nèi	within the city	74
为业	wéi yè	as an inheritance	74
眷顾	juàn gù	visited	74
下去	xià qù	went down	74
约伯	yuē bó	Job	74
救赎	jiù shú	redeem	74
仿佛	fǎng fú	as if	74
公牛犊	gōng niú dú	young bull	74
迦利利	jiā lì lì	Galilee	74
仰望	yǎng wàng	look up to	74
道路	dào lù	path	73
约柜	yuē guì	ark of the covenant	73
行善	xíng shàn	do good	73
五	wǔ	five	73
南方	nán fāng	south	73
赏赐	shǎng cì	reward	73
之外	zhī wài	outside of	73
成	chéng	become	73
何处	hé chù	where	73
必有	bì yǒu	will have	73
禁食	jìn shí	fasted	73
旨意	zhǐ yì	will	73
治死	zhì sǐ	put to death	72
摸	mō	touch	72
过去	guò qù	over	72
一百	yī bǎi	one hundred	72
亚伯兰	yà bó lán	Abram	72
十	shí	ten	72
亚比米勒	yà bǐ mǐ lè	Abimelech	72
喊叫	hǎn jiào	shout	72
以前	yǐ qián	before	72
作为	zuò wéi	as	72
宫殿	gōng diàn	palace	72
铜	tóng	bronze	72
犯	fàn	violate	72
街市	jiē shì	marketplace	72
约阿施	yuē ā shī	Joash	72
郇	xún	Zion	72
经	jīng	through	72
害	hài	harm	71
伸手	shēn shǒu	reach out	71
抬	tái	carry	71
存	cún	remain	71
不容	bù róng	not allow	71
义人	yì rén	righteous man	71
随	suí	according to	71
只有	zhǐ yǒu	only	71
藉	jiè	by means of	71
跌倒	diē dǎo	fall down	71
聪明	cōng míng	intelligence	71
柏香木	bǎi xiāng mù	cedar wood	71
基甸	jī diàn	Gideon	71
大大	dà dà	greatly	70
益处	yì chù	benefit	70
牧人	mù rén	herdsmen	70
此	cǐ	here	70
焚香	fén xiāng	burn incense	70
祸	huò	disaster	70
西底家	xī dǐ jiā	Zedekiah	70
伯特利	bó tè lì	Bethel	69
留	liú	keep	69
坐在	zuò zài	was sitting	69
两	liǎng	two	69
居	jū	live	69
述说	shù shuō	tell	69
除了	chú le	except	69
怒	nù	anger	69
圣洁	shèng jié	holy	69
差	chāi	send	68
果然	guǒ rán	indeed	68
全家	quán jiā	whole family	68
等到	děng dào	until	68
一块	yī kuài	one piece	68
享	xiǎng	enjoy	68
直	zhí	straight	68
尊贵	zūn guì	honorable	68
银	yín	silver	68
降罚	jiàng fá	punish	68
他连得	tā lián dé	talent (unit of weight)	68
幕	mù	curtain	68
外	wài	outside	67
责备	zé bèi	rebuke	67
反	fǎn	instead	67
几时	jǐ shí	for a while	67
士师	shì shī	judge	67
节期	jié qī	festival	67
右边	yòu biān	right side	67
仆倒	pū dǎo	fall down	67
钉	dìng	nail	67
光明	guāng míng	light	67
亚述王	yà shù wáng	king of Assyria	67
忍耐	rěn nài	endure	67
细拉	xì lā	Selah	67
